dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,Nx*c,V(mm鲁),P
7,3.6,4,4838.00 ,0.89 ,,10,3.3,6,9316.76 ,0.90 ,,13.6,5,7.5,19797.48 ,0.66 ,,9.6,4.6,6,15409.632,0.900524601
7,3.6,4,5658.00 ,0.77 ,,10,3.3,10.5,18561.05 ,0.83 ,,13.6,5.1,7.5,18021.12 ,0.65 ,,9.6,4.8,6,14029.08,0.944200575
7,3.8,4,4915.41 ,0.91 ,,10,3.3,10,11975.71 ,0.87 ,,13.6,5,8,15693.94 ,0.63 ,,9.6,5.4,6,16143.424,0.947220445
7,1.8,6,8705.09 ,0.97 ,,10.5,4.1,3,10091.12 ,0.93 ,,13.6,5,8,18322.74 ,0.58 ,,9.6,5.6,6,14689.272,0.989482671
7,3.2,6,9664.70 ,0.96 ,,10.5,4.1,2,6487.20 ,0.71 ,,13.6,5,8,19637.14 ,0.88 ,,9.6,5.6,6,16326.872,0.962068379
7,1.2,4,4902.94 ,0.75 ,,10.5,4.1,3,11321.75 ,0.77 ,,13.6,5.1,8,15767.96 ,0.63 ,,9.6,1,6,13018.368,0.951374501
7,2,4,4576.26 ,0.79 ,,10.5,4.1,3,12306.25 ,0.73 ,,13.6,5.1,8,17088.56 ,0.89 ,,9.6,1.2,6,13215.616,0.929216877
7,2.8,4,5679.65 ,0.72 ,,10.5,4.1,4.5,11792.82 ,0.67 ,,13.6,5.1,8,19729.76 ,0.88 ,,9.6,1.6,6,12340.512,0.951957598
7,3,4,4996.10 ,0.81 ,,10.5,4.1,4.5,13067.72 ,0.63 ,,14.5,5.6,8,19192.32 ,0.93 ,,9.6,1.8,6,13807.36,0.948065013
7,4.2,4,6359.26 ,0.77 ,,10.5,4.1,3,8860.50 ,0.51 ,,14.5,5.6,9,19735.90 ,0.67 ,,9.6,2,6,12698.208,0.974910215
7,2.6,6,10079.64 ,0.93 ,,10.5,4.1,3,9352.75 ,0.60 ,,15.1,5.8,7.5,19456.29 ,0.89 ,,9.6,2.2,6,14201.856,0.978512317
7,3.8,6,10975.61 ,0.96 ,,10.5,4.1,3,9845.00 ,0.72 ,,15.6,6,7,18168.48 ,0.54 ,,9.6,1.6,6,7896.912,0.738037318
7,1,4,5130.58 ,0.78 ,,10.5,4.1,4,7044.60 ,0.70 ,,15.6,6,7,19544.88 ,0.71 ,,9.6,3,6,7299.648,0.794514418
7,1.6,4,4752.72 ,0.80 ,,10.5,4.1,4,8805.75 ,0.51 ,,15.6,6.1,7,18250.32 ,0.54 ,,9.6,3,6,8698.048,0.697328806
7,2,4,5648.82 ,0.75 ,,10.5,4.1,6,12410.07 ,0.71 ,,15.6,6.1,7,19632.92 ,0.72 ,,9.6,4.8,6,9728.08,0.689951748
7,2.2,4,5024.30 ,0.81 ,,10.5,4.1,4,8218.70 ,0.58 ,,,,,,,,9.6,5,6,8260.128,0.807089478
7,2.8,4,6063.41 ,0.77 ,,10.5,4.1,4,9392.80 ,0.56 ,,,,,,,,9.6,5,6,9842.528,0.707940221
7,3,4,5386.42 ,0.83 ,,10.5,4.1,6,14812.03 ,0.89 ,,,,,,,,9.6,5.2,6,8356.176,0.828712791
7,3,4,6167.06 ,0.79 ,,10.5,4.1,6,16413.33 ,0.87 ,,,,,,,,9.6,1.4,6,7156.864,0.713442773
7,3.2,4,5476.94 ,0.85 ,,10.5,4.1,4,9392.80 ,0.83 ,,,,,,,,9.6,1.8,6,8655.36,0.638442576
7,4,4,6685.30 ,0.84 ,,10.5,4.1,5,8278.20 ,0.61 ,,,,,,,,9.6,2.6,6,7788.352,0.698918059
7,4.2,4,5929.58 ,0.91 ,,10.5,4.1,5,9657.90 ,0.56 ,,,,,,,,9.6,3.4,6,9644.544,0.677580476
7,1,4,4805.86 ,0.87 ,,10.5,4.1,7.5,13745.90 ,0.78 ,,,,,,,,9.6,3.6,6,8314.592,0.733217299
